"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.003522586,2.251273087,2.351673079,2.584423313,2.809559019,2.897064371,2.546462049,2.880934636,2.539379698,2.902456857,2.939803714,3.163440183,3.444816246,3.71320285,3.936672683,4.307422704,4.497011919,4.653264022,5.062630093,5.233980484,5.056091049,5.100368173,5.413067669,4.799404604,5.173853458,5.204746188,2.75495713,1.049914844,0.84086515,8.03993161,9.151908446,13.07102416,4.797215989,3.936606677,6.495036608,13.49969536,14.65406666,16.67381022,16.82026923,18.63695626,23.11438324,25.09170207,25.60215855,25.32064707,29.3951756,28.11358572,32.21704904,40.15555103,56.73822191,61.22804462,50.27585152,51.2979647,51.20654469,60.98888071,50.08993011,43.89092875,no data
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,104.9912655,107.3594002,111.5800079,111.8980761,112.238468,113.4956939,116.2465216,122.7377096,120.5370378,113.4837794,112.6576278,113.8286428,114.2876493,112.7975705,106.6374272,104.7681477,107.0289124,106.8212383,106.420584,101.2493179,103.1003178,105.9805968,104.7103944,105.0795306,106.6996715,115.7097829,124.8998918,136.5403247,147.8103174,154.8897986,145.7898229,151.7096321,151.3999087,141.5897596,132.229792,130.8297325,137.230067,141.9103296,147.3197398,154.2799359,161.9199353,161.1302481,158.1599415,158.6097758,167.1202851,141.1400904,161.6200974,188.0498347,201.2101807,189.319947,192.8902587,195.8902093,210.129945,202.75,212.1,212.109952,218.5998109,215.7001787,225.1500446,238.9500948,242.2300883,239.8999598,211.1401342
Switzerland,131.0282102,128.0374211,126.7132984,126.8963727,128.3166833,127.6322753,128.3681254,126.6609055,129.4048739,132.4452491,135.8218152,137.3889035,137.3171258,135.746278,137.6788803,139.5853528,140.0865048,142.4088197,148.299079,156.177042,154.5276895,148.707485,144.7808806,141.3538498,119.40088,131.1012875,139.9601825,148.9781146,154.9613949,158.0014492,158.0204321,155.7901906,155.7045645,161.0514344,160.8202866,162.0915848,166.8394713,174.1895758,185.6653183,196.6034016,196.6197978,195.6196792,195.6136201,190.8302287,190.6781265,193.1988712,196.478152,195.3768758,191.5900689,199.7699379,191.2789634,186.7958142,187.9558856,195.7154992,194.4086317,195.6794334,193.1500302,201.3332234,198.5835017,214.54233,214.5826786,221.5159217,229.1349942,230.0655123,229.9194905,234.0539794,241.1124656,251.1644757,244.4663395,266.0444871,276.7903064,279.4475921,270.4067024,264.5763208
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.844664579,2.471595582,2.433887563,3.859188543,3.884343044,3.741544899,3.984665926,5.503122396,9.756897733,16.30631009,23.5763669,26.98034423,30.35978853,26.43532831,31.91678465,36.86395039,38.27018415,38.86072248,33.77860728,29.08967848,28.84155818,26.74942519,25.04360864,21.34863647,19.46326118,17.28979827,15.15341978,10.56847567,6.402291235
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.69757628,10.94307865,14.04999378,14.8279793,12.89292427,12.03817187,4.344133997,6.370871572,7.25390602,12.04487033,13.29793536,12.19623019,12.05166467,13.00906132,11.46416969,16.1051675,19.39998349,20.49665109,15.33697656,10.05130305,9.277172077,9.064908743,10.06319002,9.390045029,9.773984199,11.72621941
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.908585889,3.779146231,3.956270419,3.688117151,4.579243289,5.241245917,4.840711322,4.453360696,4.357843822,3.249824475,2.49412954,2.647583323,1.776573059,1.797629744,1.58976189,1.04590664,1.099380433,1.427527575,1.332661381,1.268933935,1.136873448,1.317563529,1.258350437,0.784524725,1.067450974,0.988334996,1.456564864,1.299544311,11.53854696,11.40919197,11.51434206,7.997356884,8.860983182,7.960239151,5.461692427,2.538883436,2.90642907,3.132587103,3.433450233,3.354751198,4.038421967,4.962040091,6.129911277,7.002818518,7.954183676,9.19196355,11.10261896,11.72282292,11.03840728,11.54747496,12.27832362,12.65306432,12.41681498,13.16942889,14.40099282,13.51602967,12.76194124,13.13263987,12.96720989,12.83789415,13.37844011,15.3822744,16.26820853
Thailand,no data,no data,no data,no data,no data,no data,no data,16.7585019,18.68694234,19.56731506,20.50110205,21.6554084,23.48851906,22.69302974,24.91639546,27.52988099,27.61917281,28.63178806,30.04097756,31.8382179,36.1837354,38.34990801,39.21396935,43.55334238,44.99663426,49.45028962,50.12572607,55.58437558,60.41404631,62.4940463,59.84505936,61.11066416,65.5146724,80.27066831,87.08570848,89.48509257,88.96830289,93.8653355,98.98290285,108.7103545,127.5352811,140.0761605,148.8716623,161.4742298,186.3842303,206.1702659,217.5196676,249.9914443,227.2279819,193.1221719,160.8647447,143.5464839,146.7147857,137.8339934,141.0146727,139.6584188,133.6538127,128.2299254,132.5138466,136.7271798,133.7865286,144.8844538,150.0279834,156.5478099,160.7899864,164.2881133,161.6660054,157.8602131,158.8337702,159.5072915,180.9146641,184.2661177,178.7121314,178.1124613
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.091468652,5.162792941,19.86110822,22.87464461,24.45759448,18.30398959,15.21827355,13.54845039,12.04103198,12.16616132,13.05001858,12.65788859,12.77683238,12.92347465,12.27424754,15.75904268,15.42624321,12.59288858,13.26350336,8.245988758,12.316812,20.22648908
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.096580378,6.105771661,5.848786316,6.041762482,5.739675434,3.53427305,3.705661891,4.37090655,6.056648545,5.379658114,6.573497338,6.646288535,6.510915147,8.83016775,9.14617919,11.8478682,13.91785802,14.64046268,14.92222516,15.12980265,15.42034502,13.95558801,15.27605145,13.44635225,13.44581323,12.27432451,14.55497702,15.42378661,14.45908466,13.15092197,13.30259282,14.67951022,14.73767271,16.65688442,10.95314217,11.81406624,11.34375028,10.77445468,11.77610019,10.19239226,10.46367148,9.502606358,8.495358721,10.51467358,9.662583292,10.46230595,11.48599179,15.82119398,13.44282152,13.90002052,15.49143713,19.82927803,21.67909512,27.01408108,25.27316919,28.96359043,30.23704658,29.45233611,27.68859237,27.42482255,27.07774133,26.71703779,28.13529037,28.05956361
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.136569143,2.248468542,7.085286598,8.694521449,8.724744993,11.48162209,11.67308393,14.47459482,17.47882286,16.29573878,16.91850715,20.03275695,19.47088914,23.17977926,28.53540127,30.5051482,29.72449156,25.16616197,23.68460213,24.07704531,30.2163748,35.38665937,35.47261939,40.27079544,42.12685753,37.7282004,40.37347528,41.78857179,43.97067381,44.57368951,40.53961416,52.69367793,48.13009508,54.9942605,52.17462784,47.81194286,39.65572777,32.81658612,33.71931911,33.86992416,34.251934,37.24193586,40.99608302,41.80453153,43.597995,42.97073977,43.09949767,40.89590465,41.45845933,40.38383449
Trinidad and Tobago,no data,13.01780031,11.83741218,10.96442426,10.35400781,11.22797378,9.222679597,7.56496591,7.495144595,10.55099962,11.85716774,11.08280106,12.32411603,11.4158389,13.18833252,15.46252265,14.91874667,16.08219322,15.76229409,20.57190391,22.89019713,23.67524859,29.104941,28.66106468,25.76061623,28.65956896,33.7881666,37.92785493,48.20634353,42.96519851,38.2349914,41.8050691,43.30093703,52.61510552,56.40992203,55.89793619,59.26522946,61.35914784,59.01049452,58.16296664,51.5901555,58.30276975,57.65193903,56.43240172,44.97128521,47.66128455,47.69235356,63.61199252,63.7688492,61.9083028,57.73668227,52.57687854,56.53324234,51.23226234,46.99893343,43.35416696,46.56343547,46.61219803,40.18899651,59.92060045,52.05043121,46.49915123,43.64704546,37.90643859,43.16801883,48.66301273,58.07659452,61.89664979,61.17575674,60.13486545,68.80631638,62.70744113,50.87529133,no data
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.68850548,60.95925182,62.47799623,71.33728901,74.44714698,79.22617469,84.40768399,83.75919199,82.32663575,79.4561382,88.83296723,88.62158219,65.5876617,58.87630499
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.958769467,4.982260319,5.867995487,5.726505928,6.368114007,6.525155049,7.210388253,6.991429393,5.222310727,5.72702139,5.191089324,4.867878162,4.761557378,5.115648459,5.346966269,4.181629819,3.78032012,2.75349108,2.243642577,1.534298204,2.181052581,2.948538249,2.191635155,2.473295139,1.304454959,1.761813736,1.68053131,1.623008307,1.607206269,1.912548592,2.072637661,2.257190646,2.542530394,3.240397359,3.120145019,3.394801499,4.005692441,3.514149796,4.161610162,4.322230113,4.16591844,4.956999539,5.513315024,6.006950817,6.009726967,6.128868207,7.040995853,7.08866447,8.755886911,8.126640725,10.10381656,10.59116095,10.68094529,10.61345908,11.23890859,12.01914035,12.15727895,11.7104101,11.75543229,11.96474777,12.87174105,12.82142838,12.40447576,12.39501026
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.841247326,7.499914365,9.288634814,11.63779915,14.34944166,16.51279855,19.65453073,26.12762061,34.40785954,39.15857797,47.50347632,62.6460027,78.8047984,105.3860121,110.1845181,97.69016297,91.10599937,91.2521289,95.7376915,118.2276486,107.5414326,94.92847256,77.2439899,66.10947664,53.89073409,55.83706833,44.6164526,54.69749273,44.99547634
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.129441004,10.54559949,13.77893206,18.06545809,19.99901701,21.63282958,19.42130258,18.109378,19.50974957,22.2507539,25.62667334,25.78778607,26.46449178,35.98031641,35.24849938,37.80956922,35.52601992,28.05050071,31.12478559,31.34186241,33.4532326,33.72062467,34.96875911,34.27201002,40.11347789,44.73685843,43.05306682,36.93897933,42.5527717,44.52758257,45.1263385,49.42247984,55.43830138,66.0816297,79.97221765,91.963772,117.9912441,101.9822727,84.56467856,79.16789601,79.59981402,83.90173849,100.9451144,106.1259165,105.3711091,101.1768583,105.1282268,126.0778646,106.3922776,89.40287871,no data
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.92582032,52.2158663,55.37175788,58.50178348,59.26651411,58.07205954,57.12625675,57.81128576,57.00972818,64.79933997,64.48865799,62.45502901,57.95933036,58.90747663,56.34565359,55.79515688,55.87222431,56.81386314,60.84016817,65.56869176,68.42807822,75.96660669,77.34630876,84.66233766,88.45069232,98.38774985,107.0071311,114.6794038,114.7392489,115.8001242,114.3111365,110.8640419,111.991266,108.6997373,112.0282566,120.0274211,128.7143613,136.0111088,144.3861325,154.3885167,154.5873353,158.1503466,165.6500201,172.1943999,175.9869795,185.2773594,185.222643,177.0466376,172.4743924,173.1275621,167.4591506,159.9682472,157.7680306,163.301492,163.7263131,158.546841,156.9877807,176.6841329,163.8513608,148.4542603,140.6155228
United States,55.31463443,53.65722791,56.55550468,58.01653226,62.57355806,65.34024299,68.08606775,69.86960304,73.7232155,74.92356751,77.8811084,81.02820209,82.02451312,85.31688325,86.94066332,88.12374608,87.44557723,90.54861793,90.03142306,90.75079258,92.17593818,93.27562877,95.3346611,96.80455025,99.17235925,96.47794672,94.98339237,97.17285195,98.52872885,100.6308698,101.4207344,99.4073947,101.9379149,103.43242,106.5813035,113.1103941,119.3855392,122.6536224,124.9155674,125.247093,125.0699927,123.1124734,119.2248853,118.8458202,119.3754846,121.4695507,122.3489045,124.0791368,129.3986147,133.9528147,136.7430336,141.4130227,145.6229699,149.3516753,153.2361614,157.5732407,164.087698,170.8570738,170.7577937,169.5430669,160.6936021,156.0344173,152.6526783,151.7045971,150.6971356,150.9386718,152.6504794,154.3540467,153.6220153,153.3912292,164.7954959,160.5014824,156.1172851,150.1455086
Uruguay,14.33296671,15.05843015,13.20359394,13.69987513,14.20866456,18.06302877,19.6507179,16.85013758,25.14417316,22.18622564,15.04139585,14.382253,16.38655306,16.18898637,18.81412035,14.17558324,10.2987956,9.314292713,6.943653176,7.324914371,8.369221543,8.31174729,10.0055423,8.184479944,8.057983069,17.29917702,19.01542589,22.36954452,25.52815272,30.18616599,33.92402663,35.90333661,62.98867355,43.62127607,38.01403978,41.32050303,36.80124388,29.57257904,34.92638735,35.632956,28.38382377,22.84675594,22.96246372,22.46678306,21.63606721,24.01553961,24.3335417,26.54788088,41.13709939,43.33265249,49.00223876,53.23206262,71.06306813,45.27041892,27.75266797,23.85485356,23.11556269,24.49060777,27.54712213,21.32912288,25.73875749,22.40368841,23.51544035,28.90757892,30.37359849,32.72317901,31.83157475,29.96780691,31.02742515,29.79959292,33.68180143,33.32055983,33.50537669,no data
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.00726737,46.70620397,51.01286671,35.53666647,31.97004255,31.37538449,29.52510198,29.93815614,28.05237826,27.34484802,29.52432642,29.91847181,30.09581556,30.23679691,33.27187844,29.8628806,35.49736864,35.06675449,33.54213363,32.46351182,33.54830711,30.30960586,31.70699913,35.14549186,30.86544163,32.80468783,36.28949471,37.88790371,39.09753695,42.98087976,41.86424678,43.21541646,54.73878857,64.58381523,67.22767247,68.99912778,73.40434337,72.39700803,74.90147126,71.39495713,67.87669968,63.93439071,61.01484936,57.88222429,59.13605962,59.87438219,55.76001897,53.10360924
Venezuela,4.197076559,4.135070786,4.406326012,5.464994056,6.165220824,6.928980182,7.334429751,9.07755179,10.07060575,11.36560732,10.18653321,9.89620631,9.387468056,9.086481089,9.529600024,9.982341847,9.731729989,10.24916636,10.79228975,10.8653995,10.7980891,11.21097006,12.40849648,14.21649803,16.53335176,21.38471593,25.01760868,25.71762059,28.82378897,24.5128919,23.51491613,22.86689883,25.21330808,26.44479546,25.97136195,26.13209808,30.94453059,30.1211644,30.42114578,20.25665424,16.79536701,18.72417501,18.90166636,16.03098839,9.353500962,8.80189111,8.263695607,12.81956988,12.2430517,11.40328158,10.66038022,11.78659404,9.537741993,8.391126237,10.52959156,12.60830431,15.81692337,21.3020275,19.74803181,22.20598031,18.59432766,20.25204323,23.6392626,27.1970222,24.78949563,23.82157538,no data,no data,no data,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.75582367,13.01817177,no data,14.5580422,14.70402979,15.63242577,15.84906979,22.1990154,27.76912031,30.94408172,33.96866479,38.096797,42.44847089,47.62206179,51.47548168,67.44755209,65.26841184,81.37397343,90.35317004,79.94308177,75.54939143,77.55811084,80.00103153,90.39922733,98.85896071,103.9720322,105.2759847,108.031901,115.52535,124.2828987,125.9120202,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.219792103,4.94373538,4.65483189,4.846797084,4.202767195,4.604806156,3.014533477,3.888261825,5.349375629,5.246512816,4.860630017,5.734765817,5.801288281,6.366397792,7.16253623,6.939312159,6.913219608,8.184084966,7.704922009,7.735476025,6.28934065,5.068725811,4.645404088,5.636719541,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.307448307,10.59974582,12.37657099,10.28678484,10.31152813,14.61898084,14.69035695,13.30374146,13.43443831,22.67725805,21.58439139,17.03129746,15.41583743,11.88723876,12.62767304,12.82498146,16.21392766,17.87771662,17.40072536,10.23169873,7.857982461,7.585046907,7.559256476,8.343370213,10.14062581,7.301191726,6.425267456,4.646483056,4.212163962,5.505762638,7.22813906,7.985904761,6.761559636,5.906687446,6.362073627,7.301835017,6.300764619,5.259811605,5.802427209,6.878708401,6.483073144,8.040360954,9.572418972,12.15614986,9.920979331,9.105573418,9.970395724,11.89138441,11.58687401,13.28646922,15.62865371,12.00545546,11.09915785,11.58576254,12.43277451,12.17888119,8.44018895,10.1685993,12.4739636
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.007725797,no data,1.631430554,0.690890724,3.992056061,10.48467884,11.99341673,12.13666463,15.70636724,19.4247209,25.07505531,12.37787307,15.28035698,18.70318763,21.80480661,21.22171031,24.79000928,21.54409091,26.58099655,24.81541915,16.16158328,21.56249904,27.72415723,84.81197208,53.16815667,17.04778478,14.94879881,no data,no data,no data,7.159107402,13.54362895,18.98323589,20.14062022,18.7319126,19.21037138,18.31568566,17.09856236,16.8751082,5.830264969,5.237706363,5.415074173,6.988542902,8.78568463,8.837762016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
